BSSA14,Magnitude Scaling,,,,,,,,Distance Scaling,,,,,,Anelastic attenuation,,,Linear site term,,,Nonlinear site term,,,,Basin depth,,Aleatory Uncertainty,,,,,,,,,
period,e0,e1,e2,e3,e4,e5,e6,Mh,c1,c2,c3,Mref,Rref (km),h (km),Dc3 (globalCATWNZ),Dc3 (ChinaTurkey),Dc3 (ItalyJapan),c,vc,vref,f1,f3,f4,f5,f6,f7,R1 (km),R2 (km),DfR,DfV,V1 (m/s),V2 (m/s),f1,f2,t1,t2
2.6,-0.96863,-0.92577,-1.0313,-1.0266,2.0628,-0.068925,0.5581,6.2,-1.2198,0.096136,0,4.5,1,6.81,0,0.0027082,-0.0011684,-1.0262,952.34,760,0,0.1,-0.019576,-0.00246,1.0601,0.47422,130.72,209.32,0.094,0.001,225,300,0.531,0.62,0.535,0.34
2.8,-1.0817,-1.0367,-1.1301,-1.1495,2.1014,-0.055229,0.59394,6.2,-1.2189,0.096667,0,4.5,1,6.87,0,0.0026581,-0.0011803,-1.019,937.52,760,0,0.1,-0.016324,-0.00208,1.099,0.49536,130.57,201.08,0.091,0,225,300,0.532,0.619,0.536,0.342
3,-1.1898,-1.142,-1.23,-1.2664,2.1323,-0.04332,0.62694,6.2,-1.2179,0.097638,0,4.5,1,6.93,0,0.0026163,-0.0011885,-1.0112,922.43,760,0,0.1,-0.013577,-0.00183,1.1348,0.51585,130.36,195,0.088,0,225,300,0.534,0.619,0.537,0.344
3.2,-1.2914,-1.2406,-1.3255,-1.376,2.1545,-0.03444,0.65811,6.2,-1.2169,0.098649,-0.000023,4.5,1,6.99,0,0.002588,-0.0011921,-1.0032,908.79,760,0,0.1,-0.01103,-0.00167,1.1638,0.53411,130.13,191.61,0.084,0,225,300,0.535,0.618,0.538,0.345
3.4,-1.386,-1.3322,-1.415,-1.4786,2.1704,-0.027889,0.68755,6.2,-1.216,0.099553,-0.00004,4.5,1,7.08,0,0.0025753,-0.0011866,-0.99512,896.15,760,0,0.1,-0.0086652,-0.00158,1.1882,0.55145,129.9,190.73,0.081,0,225,300,0.535,0.618,0.54,0.346
3.5,-1.4332,-1.3778,-1.4599,-1.5297,2.1775,-0.024997,0.70216,6.2,-1.2156,0.099989,-0.000045,4.5,1,7.12,0,0.0025717,-0.0011739,-0.991,883.16,760,0,0.1,-0.0075682,-0.00155,1.2114,0.56981,129.71,191.11,0.078,0,225,300,0.536,0.617,0.541,0.347
3.6,-1.4762,-1.4193,-1.5014,-1.5764,2.1834,-0.022575,0.71523,6.2,-1.2156,0.10043,-0.000049,4.5,1,7.16,0,0.0025735,-0.0011539,-0.98682,870.05,760,0,0.1,-0.0065374,-0.00154,1.2336,0.58932,129.56,191.98,0.075,0,225,300,0.536,0.616,0.542,0.348
3.8,-1.5617,-1.5014,-1.5865,-1.6685,2.1938,-0.018362,0.74028,6.2,-1.2158,0.10142,-0.000053,4.5,1,7.24,0,0.0025862,-0.0011229,-0.97826,857.07,760,0,0.1,-0.0047016,-0.00152,1.2534,0.60918,129.49,195.01,0.072,0,225,300,0.536,0.616,0.543,0.349
4,-1.6388,-1.5748,-1.6673,-1.7516,2.204,-0.014642,0.76303,6.2,-1.2162,0.10218,-0.000052,4.5,1,7.32,0,0.0026053,-0.0010829,-0.96938,844.48,760,0,0.1,-0.0032123,-0.00152,1.2711,0.62939,129.49,199.45,0.07,0,225,300,0.536,0.616,0.543,0.349
4.2,-1.7116,-1.6439,-1.7451,-1.829,2.2123,-0.012248,0.78552,6.2,-1.2165,0.10269,-0.000047,4.5,1,7.39,0,0.002619,-0.0010247,-0.96012,832.45,760,0,0.1,-0.0021033,-0.00152,1.287,0.65157,129.57,204.93,0.068,0,225,300,0.535,0.616,0.542,0.349
4.4,-1.7798,-1.7089,-1.8192,-1.9011,2.2181,-0.011459,0.80792,6.2,-1.2169,0.10304,-0.000039,4.5,1,7.46,0,0.0026235,-0.0009464,-0.95049,821.18,760,0,0.1,-0.0013244,-0.0015,1.3004,0.67421,129.71,211.09,0.066,0,225,300,0.534,0.617,0.54,0.347
4.6,-1.8469,-1.7731,-1.8923,-1.9712,2.223,-0.01176,0.83126,6.2,-1.2175,0.10324,-0.000027,4.5,1,7.52,0,0.0026217,-0.00084448,-0.9405,810.79,760,0,0.1,-0.00080422,-0.00148,1.3125,0.69698,129.87,217.56,0.064,0,225,300,0.533,0.619,0.538,0.345
4.8,-1.9063,-1.8303,-1.9573,-2.0326,2.2268,-0.012879,0.8524,6.2,-1.2182,0.10337,-0.000014,4.5,1,7.64,0,0.0026153,-0.00071799,-0.93018,801.41,760,0,0.1,-0.00047145,-0.00146,1.3225,0.71888,130.05,223.99,0.063,0,225,300,0.531,0.621,0.535,0.341
5,-1.966,-1.8882,-2.0245,-2.0928,2.2299,-0.014855,0.87314,6.2,-1.2189,0.10353,0,4.5,1,7.78,0,0.0026035,-0.00057148,-0.91954,793.13,760,0,0.1,-0.0002548,-0.00144,1.3289,0.73806,130.22,230,0.061,0,225,300,0.528,0.622,0.532,0.335
5.5,-2.1051,-2.0232,-2.1908,-2.2288,2.2389,-0.019502,0.91466,6.2,-1.2204,0.1046,0,4.5,1,8.07,0,0.0025908,-0.00040768,-0.89176,785.73,760,0,0.1,0.000072383,-0.0014,1.345,0.7779,130.39,241.86,0.06,0,225,300,0.526,0.624,0.528,0.329
6,-2.2421,-2.1563,-2.3659,-2.3579,2.2377,-0.026383,0.9487,6.2,-1.2232,0.1075,0,4.5,1,8.48,0,0.0025835,-0.00022841,-0.86286,779.91,760,0,0.1,0.0001877,-0.00138,1.3496,0.80278,130.53,249.34,0.059,0,225,300,0.524,0.625,0.524,0.321
6.5,-2.3686,-2.2785,-2.5322,-2.477,2.215,-0.039505,0.97643,6.2,-1.2299,0.11231,0,4.5,1,8.9,0,0.0025862,-0.0000364,-0.83355,775.6,760,0,0.1,0.00015945,-0.00137,1.3489,0.8148,130.63,252.94,0.059,0,225,300,0.52,0.634,0.517,0.312
7,-2.4827,-2.3881,-2.6818,-2.5854,2.172,-0.05914,0.99757,6.2,-1.2408,0.11853,0,4.5,1,9.2,0,0.0026026,0.00016835,-0.80457,772.68,760,0,0.1,0.00005592,-0.00137,1.3422,0.81615,130.7,253.12,0.059,0,225,300,0.515,0.636,0.514,0.302
7.5,-2.5865,-2.4874,-2.8176,-2.6854,2.1187,-0.081606,1.0121,6.2,-1.2543,0.12507,0,4.5,1,9.48,0,0.0026,0.00038493,-0.77665,771.01,760,0,0.1,-0.0000546,-0.00137,1.3288,0.809,130.72,250.39,0.058,0,225,300,0.512,0.634,0.511,0.27
8,-2.6861,-2.5829,-2.9438,-2.7823,2.0613,-0.10382,1.0232,6.2,-1.2688,0.13146,0,4.5,1,9.57,0,0.00263,0.00072,-0.75033,760.81,760,0,0.1,-0.00011724,-0.00137,1.3084,0.79538,130.87,245.23,0.059,0,225,300,0.51,0.63,0.507,0.278
8.5,-2.782,-2.6752,-3.0597,-2.8776,2.0084,-0.12114,1.0335,6.2,-1.2839,0.13742,0,4.5,1,9.62,0,0.00267,0.00094,-0.72544,764.5,760,0,0.1,-0.00013084,-0.00137,1.2822,0.77671,130.71,238.13,0.059,0,225,300,0.509,0.622,0.503,0.265
9,-2.8792,-2.7687,-3.1713,-2.9759,1.9605,-0.13407,1.0453,6.2,-1.2989,0.14294,0,4.5,1,9.66,0,0.00276,0.00113,-0.70161,768.07,760,0,0.1,-0.00010766,-0.00137,1.2515,0.75425,130.5,229.56,0.06,0,225,300,0.509,0.613,0.498,0.252
9.5,-2.9769,-2.8634,-3.2785,-3.076,1.9189,-0.14364,1.0567,6.2,-1.313,0.14781,0,4.5,1,9.66,0,0.00289,0.00131,-0.6785,771.55,760,0,0.1,-0.000059962,-0.00136,1.2179,0.72925,130.26,220.02,0.06,0,225,300,0.509,0.604,0.492,0.239
10,-3.0702,-2.9537,-3.3776,-3.1726,1.8837,-0.15096,1.0651,6.2,-1.3253,0.15183,0,4.5,1,9.66,0,0.00303,0.00149,-0.65575,775,760,0,0.1,0,-0.00136,1.1829,0.703,130,210,0.06,0,225,300,0.51,0.604,0.487,0.239
